[2022-02-10 07:48:49,252][root][INFO] - Cleaning data and saving clean version
[2022-02-10 07:48:50,253][root][INFO] - Train/Test model procedure started
[2022-02-10 07:48:52,118][root][INFO] - Accuracy mean: 0.790800937934412
[2022-02-10 07:48:52,118][root][INFO] - Accuracy std: 0.00611961885240109
[2022-02-10 07:48:52,120][root][INFO] - Score check procedure started
[2022-02-10 07:48:52,144][root][INFO] - workclass - Precision:0.6729222520107239 Recall:0.2556008146639511 F Beta Score: 0.37047970479704795
[2022-02-10 07:48:52,151][root][INFO] - workclass - Precision:0.6341463414634146 Recall:0.24528301886792453 F Beta Score: 0.3537414965986394
[2022-02-10 07:48:52,157][root][INFO] - workclass - Precision:0.7352941176470589 Recall:0.2976190476190476 F Beta Score: 0.42372881355932207
[2022-02-10 07:48:52,163][root][INFO] - workclass - Precision:0.6842105263157895 Recall:0.2846715328467153 F Beta Score: 0.4020618556701031
[2022-02-10 07:48:52,168][root][INFO] - workclass - Precision:0.8979591836734694 Recall:0.3826086956521739 F Beta Score: 0.5365853658536585
[2022-02-10 07:48:52,174][root][INFO] - workclass - Precision:0.6190476190476191 Recall:0.16049382716049382 F Beta Score: 0.2549019607843137
[2022-02-10 07:48:52,178][root][INFO] - workclass - Precision:1.0 Recall:1.0 F Beta Score: 1.0
[2022-02-10 07:48:52,183][root][INFO] - education - Precision:0.3333333333333333 Recall:0.3 F Beta Score: 0.3157894736842105
[2022-02-10 07:48:52,193][root][INFO] - education - Precision:0.5384615384615384 Recall:0.20257234726688103 F Beta Score: 0.294392523364486
[2022-02-10 07:48:52,199][root][INFO] - education - Precision:0.8135593220338984 Recall:0.2774566473988439 F Beta Score: 0.41379310344827586
[2022-02-10 07:48:52,204][root][INFO] - education - Precision:0.3333333333333333 Recall:1.0 F Beta Score: 0.5
[2022-02-10 07:48:52,209][root][INFO] - education - Precision:0.7619047619047619 Recall:0.27586206896551724 F Beta Score: 0.40506329113924044
[2022-02-10 07:48:52,214][root][INFO] - education - Precision:0.4444444444444444 Recall:0.4444444444444444 F Beta Score: 0.4444444444444444
[2022-02-10 07:48:52,221][root][INFO] - education - Precision:0.8313253012048193 Recall:0.3080357142857143 F Beta Score: 0.44951140065146583
[2022-02-10 07:48:52,229][root][INFO] - education - Precision:0.5698924731182796 Recall:0.2054263565891473 F Beta Score: 0.301994301994302
[2022-02-10 07:48:52,235][root][INFO] - education - Precision:0.2727272727272727 Recall:0.25 F Beta Score: 0.2608695652173913
[2022-02-10 07:48:52,240][root][INFO] - education - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,244][root][INFO] - education - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,249][root][INFO] - education - Precision:0.0 Recall:0.0 F Beta Score: 0.0
[2022-02-10 07:48:52,254][root][INFO] - education - Precision:1.0 Recall:0.3275862068965517 F Beta Score: 0.49350649350649356
